start_date,end_date,nhs_fy,org_type,org_code,org_name,variable_type,variable_a,variable_b,statistic,measure,value
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,count,referrals_received,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,count,finished_course_treatment,72082
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,count,at_caseness,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,count,not_at_caseness,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,count,improvement,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,percentage,improvement,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,count,deterioration,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,percentage,deterioration,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,count,no_reliable_change,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,percentage,no_reliable_change,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,count,reliable_recovery,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,percentage,reliable_recovery,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,count,recovery,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,All ADSM,Total,percentage,recovery,NA
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,count,referrals_received,375001
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,count,finished_course_treatment,197509
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,count,at_caseness,187902
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,count,not_at_caseness,9514
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,count,improvement,131170
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,percentage,improvement,66.4
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,count,deterioration,12741
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,percentage,deterioration,6.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,count,no_reliable_change,52054
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,percentage,no_reliable_change,26.4
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,count,reliable_recovery,88181
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,percentage,reliable_recovery,46.9
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,count,recovery,93174
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Depression,NA,percentage,recovery,49.6
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,count,referrals_received,467911
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,count,finished_course_treatment,278817
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,count,at_caseness,260639
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,count,not_at_caseness,18066
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,count,improvement,190802
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,percentage,improvement,68.4
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,count,deterioration,14908
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,percentage,deterioration,5.3
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,count,no_reliable_change,71019
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,percentage,no_reliable_change,25.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,count,reliable_recovery,131958
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,percentage,reliable_recovery,50.6
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,count,recovery,137870
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Total,percentage,recovery,52.9
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,count,referrals_received,6513
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,count,finished_course_treatment,3857
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,count,at_caseness,3588
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,count,not_at_caseness,267
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,count,improvement,2280
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,percentage,improvement,59.1
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,count,deterioration,289
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,percentage,deterioration,7.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,count,no_reliable_change,1258
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,percentage,no_reliable_change,32.6
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,count,reliable_recovery,1372
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,percentage,reliable_recovery,38.2
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,count,recovery,1420
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Agoraphobia,percentage,recovery,39.6
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,count,referrals_received,202418
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,count,finished_course_treatment,119661
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,count,at_caseness,112024
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,count,not_at_caseness,7612
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,count,improvement,85799
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,percentage,improvement,71.7
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,count,deterioration,5623
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,percentage,deterioration,4.7
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,count,no_reliable_change,27546
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,percentage,no_reliable_change,23
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,count,reliable_recovery,62907
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,percentage,reliable_recovery,56.1
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,count,recovery,65576
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Generalized anxiety disorder,percentage,recovery,58.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,count,referrals_received,109339
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,count,finished_course_treatment,66418
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,count,at_caseness,62759
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,count,not_at_caseness,3608
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,count,improvement,44191
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,percentage,improvement,66.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,count,deterioration,3598
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,percentage,deterioration,5.4
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,count,no_reliable_change,17850
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,percentage,no_reliable_change,26.9
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,count,reliable_recovery,28882
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,percentage,reliable_recovery,46
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,count,recovery,30169
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,percentage,recovery,48
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,count,referrals_received,17173
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,count,finished_course_treatment,11665
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,count,at_caseness,11066
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,count,not_at_caseness,595
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,count,improvement,7612
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,percentage,improvement,65.3
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,count,deterioration,608
